price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade
221900.0,3,1.0,1180,5650,1.0,0,0,3,7
538000.0,3,2.25,2570,7242,2.0,0,0,3,7
180000.0,2,1.0,770,10000,1.0,0,0,3,6
604000.0,4,3.0,1960,5000,1.0,0,0,5,7
510000.0,3,2.0,1680,8080,1.0,0,0,3,8
1225000.0,4,4.5,5420,101930,1.0,0,0,3,11
257500.0,3,2.25,1715,6819,2.0,0,0,3,7
291850.0,3,1.5,1060,9711,1.0,0,0,3,7
229500.0,3,1.0,1780,7470,1.0,0,0,3,7
323000.0,3,2.5,1890,6560,2.0,0,0,3,7
662500.0,3,2.5,3560,9796,1.0,0,0,3,8
468000.0,2,1.0,1160,6000,1.0,0,0,4,7
310000.0,3,1.0,1430,19901,1.5,0,0,4,7
400000.0,3,1.75,1370,9680,1.0,0,0,4,7
530000.0,5,2.0,1810,4850,1.5,0,0,3,7
650000.0,4,3.0,2950,5000,2.0,0,3,3,9
395000.0,3,2.0,1890,14040,2.0,0,0,3,7
485000.0,4,1.0,1600,4300,1.5,0,0,4,7
189000.0,2,1.0,1200,9850,1.0,0,0,4,7
230000.0,3,1.0,1250,9774,1.0,0,0,4,7
385000.0,4,1.75,1620,4980,1.0,0,0,4,7
2000000.0,3,2.75,3050,44867,1.0,0,4,3,9
285000.0,5,2.5,2270,6300,2.0,0,0,3,8
252700.0,2,1.5,1070,9643,1.0,0,0,3,7
329000.0,3,2.25,2450,6500,2.0,0,0,4,8
233000.0,3,2.0,1710,4697,1.5,0,0,5,6
937000.0,3,1.75,2450,2691,2.0,0,0,3,8
667000.0,3,1.0,1400,1581,1.5,0,0,5,8
438000.0,3,1.75,1520,6380,1.0,0,0,3,7
719000.0,4,2.5,2570,7173,2.0,0,0,3,8
580500.0,3,2.5,2320,3980,2.0,0,0,3,8
280000.0,2,1.5,1190,1265,3.0,0,0,3,7
687500.0,4,1.75,2330,5000,1.5,0,0,4,7
535000.0,3,1.0,1090,3000,1.5,0,0,4,8
322500.0,4,2.75,2060,6659,1.0,0,0,3,7
696000.0,3,2.5,2300,3060,1.5,0,0,3,8
550000.0,4,1.0,1660,34848,1.0,0,0,1,5
640000.0,4,2.0,2360,6000,2.0,0,0,4,8
240000.0,4,1.0,1220,8075,1.0,0,0,2,7
605000.0,4,2.5,2620,7553,2.0,0,0,3,8
625000.0,4,2.5,2570,5520,2.0,0,0,3,9
775000.0,4,2.25,4220,24186,1.0,0,0,3,8
861990.0,5,2.75,3595,5639,2.0,0,0,3,9
685000.0,3,1.0,1570,2280,2.0,0,0,3,7
309000.0,3,1.0,1280,9656,1.0,0,0,4,6
488000.0,3,2.5,3160,13603,2.0,0,0,3,8
210490.0,3,1.0,990,8528,1.0,0,0,3,6
785000.0,4,2.5,2290,13416,2.0,0,0,4,9
450000.0,3,1.75,1250,5963,1.0,0,0,4,7
1350000.0,3,2.5,2753,65005,1.0,1,2,5,9
228000.0,3,1.0,1190,9199,1.0,0,0,3,7
345000.0,5,2.5,3150,9134,1.0,0,0,4,8
600000.0,3,1.75,1410,4080,1.0,0,0,4,7
585000.0,2,1.75,1980,8550,1.0,0,0,3,7
920000.0,5,2.25,2730,6000,1.5,0,0,3,8
885000.0,4,2.5,2830,5000,2.0,0,0,3,9
292500.0,4,2.5,2250,4495,2.0,0,0,3,7
301000.0,3,2.5,2420,4750,2.0,0,0,3,8
951000.0,5,3.25,3250,14342,2.0,0,4,4,8
430000.0,4,3.0,1850,9976,2.0,0,0,3,8
650000.0,3,2.25,2150,21235,1.0,0,3,4,8
289000.0,3,1.75,1260,8400,1.0,0,0,3,7
505000.0,3,1.75,2519,8690,2.0,0,0,5,8
549000.0,3,1.75,1540,1044,3.0,0,0,3,8
425000.0,3,2.25,1660,6000,1.0,0,0,3,7
317625.0,3,2.75,2770,3809,1.5,0,0,5,7
975000.0,4,2.5,2720,11049,2.0,0,0,3,10
287000.0,4,2.5,2240,4648,2.0,0,0,3,7
204000.0,3,1.0,1000,12070,1.0,0,0,4,7
1325000.0,5,2.25,3200,20158,1.0,0,0,3,8
1040000.0,5,3.25,4770,50094,1.0,0,0,4,11
325000.0,3,2.0,1260,5612,1.0,0,0,4,7
571000.0,4,2.0,2750,7807,1.5,0,0,5,7
